,movieNm,scrnCnt,audiCnt,rating
0,아쿠아맨,1161,287694,0
1,PMC: 더 벙커,957,165126,1
2,범블비,799,111007,0
3,보헤미안 랩소디,684,106448,0
4,스윙키즈,662,63660,0
5,점박이 한반도의 공룡2 : 새로운 낙원,553,41686,2
6,그린치,446,26250,2
7,마약왕,533,25769,3
8,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,269,17453,2
9,스파이더맨: 뉴 유니버스,152,11607,0
10,언니,509,66686,3
11,주먹왕 랄프 2: 인터넷 속으로,962,125882,2
12,내안의 그놈,25,4807,1
13,말모이,447,42874,0
14,언더독,23,4412,2
15,그린 북,349,12416,0
16,명탐정 코난 : 제로의 집행인,31,6438,0
17,극장판 공룡메카드: 타이니소어의 섬,692,57614,2
18,빌리어네어 보이즈클럽,166,4146,1
19,쿠르스크,10,1968,1
20,그대 이름은 장미,14,3101,0
21,미래의 미라이,508,16169,2
22,구스 베이비,391,9482,2
23,글래스,837,71816,1
24,극한직업,40,7746,1
25,몬스터 파크,296,4263,2
