,movieNm,audiCnt,showCnt,nationAtt,openDt_season,openDt_peak,rating_Att,rank
0,완벽한 타인,17393,241,1,3,2,3,9
1,보헤미안 랩소디,6919,43,1,3,2,1,9
2,벽 속에 숨은 마법시계,42726,2016,1,3,2,3,4
3,나츠메 우인장: 세상과 연을 맺다,7206,261,1,3,2,0,9
4,폴란드로 간 아이들,4876,257,0,3,2,1,10
5,바울,5922,262,0,3,2,3,8
6,스윙키즈,10538,52,1,4,1,3,6
7,마약왕,7189,34,1,4,1,3,8
8,말모이,22785,116,1,4,1,3,5
9,아쿠아맨,5259,21,0,4,1,2,9
10,그린치,11938,815,0,4,1,0,6
11,극장판 포켓몬스터 모두의 이야기,6992,373,1,4,1,0,8
12,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,44580,559,1,4,1,0,6
13,내안의 그놈,4807,26,0,4,1,1,9
14,그린 북,12416,943,0,4,1,0,6
